First_lat,First_long,End_lat,End_long,First_time,End_time,Instrument,Coments
-62.4393539,-58.4383624,-62.4393539,-58.4383624,2025-01-16 21:05:00,2025-01-16 21:05:00,NET,Manta_1_ANT
-63.0264076,-57.6870191,-63.0264076,-57.6870191,2025-01-18 01:00:00,2025-01-18 01:00:00,NET,Pesca_1_ANT
-62.9787836,-60.6340035,-62.9787836,-60.6340035,2025-01-19 19:51:00,2025-01-19 19:51:00,CTD_ROS,CTD_001
-62.6555471,-60.398922,-62.6555471,-60.398922,2025-01-20 21:32:00,2025-01-20 21:32:00,NET,Manta_2_ANT
-62.7516309,-60.5394017,-62.7516309,-60.5394017,2025-01-21 01:17:00,2025-01-21 01:17:00,NET,manta trawl
-62.9774348,-60.6309595,-62.9774348,-60.6309595,2025-01-21 13:55:00,2025-01-21 13:55:00,NET,paddle trawl
-62.9774348,-60.6309595,-62.9774348,-60.6309595,2025-01-21 13:55:00,2025-01-21 13:55:00,NET,paddle trawl
-64.14379,-66.4739662,-64.14379,-66.4739662,2025-01-22 17:41:00,2025-01-22 17:41:00,COR,Gravity
-64.1432511,-66.4729354,-64.1432511,-66.4729354,2025-01-22 18:25:00,2025-01-22 18:25:00,COR,Multi core
-64.1445305,-66.4734097,-64.1445305,-66.4734097,2025-01-22 19:04:00,2025-01-22 19:04:00,COR,Multi core
-64.1437853,-66.4722928,-64.1437853,-66.4722928,2025-01-22 21:20:00,2025-01-22 21:20:00,COR,Box corer
-64.1455876,-66.5188276,-64.1455876,-66.5188276,2025-01-22 22:16:00,2025-01-22 22:16:00,NET,manta trawl
-64.2288842,-66.9834034,-64.2288842,-66.9834034,2025-01-23 00:34:00,2025-01-23 00:34:00,NET,Pesca_2_ANT
-64.8513112,-68.3678166,-64.8513112,-68.3678166,2025-01-23 11:37:00,2025-01-23 11:37:00,COR,Gravity
-64.8500612,-68.369297,-64.8500612,-68.369297,2025-01-23 13:15:00,2025-01-23 13:15:00,COR,Multi core
-64.847303,-68.3742258,-64.847303,-68.3742258,2025-01-23 13:43:00,2025-01-23 13:43:00,COR,Multi core
-64.8500179,-68.3750745,-64.8500179,-68.3750745,2025-01-23 14:23:00,2025-01-23 14:23:00,COR,Gravity
-67.4551456,-70.2008737,-67.4551456,-70.2008737,2025-01-24 15:10:00,2025-01-24 15:10:00,NET,manta trawl
-67.784006,-68.862701,-67.784006,-68.862701,2025-01-24 20:59:00,2025-01-24 20:59:00,NET,paddle trawl
-67.7983576,-68.8386412,-67.7983576,-68.8386412,2025-01-24 22:16:00,2025-01-24 22:16:00,NET,Manta_3_ANT
-67.800812,-68.8368103,-67.800812,-68.8368103,2025-01-24 22:20:00,2025-01-24 22:20:00,NET,manta trawl
-67.6303583,-68.0462625,-67.6303583,-68.0462625,2025-01-25 08:29:00,2025-01-25 08:29:00,CTD_ROS,CTD_002
-67.6193964,-68.0663362,-67.6193964,-68.0663362,2025-01-25 09:17:00,2025-01-25 09:17:00,CTD_ROS,CTD_003
-67.6210188,-68.0630385,-67.6210188,-68.0630385,2025-01-25 09:52:00,2025-01-25 09:52:00,COR,Gravity
-67.6221047,-68.0620028,-67.6221047,-68.0620028,2025-01-25 10:28:00,2025-01-25 10:28:00,COR,Multi core
-67.5906043,-68.1319459,-67.5906043,-68.1319459,2025-01-25 13:33:00,2025-01-25 13:33:00,CTD_ROS,CTD_004
-67.5909278,-68.1340078,-67.5909278,-68.1340078,2025-01-25 15:31:00,2025-01-25 15:31:00,COR,Gravity
